ID,Opponent,Home,Result,Mins,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game Score,+/-
201710170CLE,CLE,True,L,36:32,5,12,.417,1,2,.500,3,3,1.000,4,6,10,3,0,0,1,4,14,11.7,+8
201710180BOS,MIL,False,L,36:32,3,7,.429,0,1,.000,2,5,.400,2,7,9,2,1,0,2,3,8,5.8,-15
201710200PHI,PHI,True,W,32:45,3,8,.375,0,2,.000,9,9,1.000,2,6,8,0,0,3,3,3,15,11.7,-4
201710240BOS,NYK,False,W,31:08,9,15,.600,4,6,.667,0,0,,1,3,4,2,4,2,3,4,22,18.9,+10
201710260MIL,MIL,True,W,27:49,3,6,.500,1,3,.333,5,5,1.000,0,2,2,3,1,0,2,1,12,10.3,+8
201710280MIA,MIA,True,W,31:28,6,9,.667,2,2,1.000,6,7,.857,2,3,5,0,0,0,0,1,20,17.6,+2
201710300BOS,SAS,False,W,35:18,2,7,.286,2,4,.500,1,2,.500,0,11,11,2,0,3,2,3,7,6.1,+12
201711010BOS,SAC,False,W,26:25,4,7,.571,1,2,.500,3,4,.750,1,3,4,2,0,0,2,1,12,8.9,+23
201711030OKC,OKC,True,W,29:48,4,10,.400,2,3,.667,3,4,.750,2,4,6,3,0,0,4,1,13,7.5,+4
201711050ORL,ORL,True,W,27:19,5,8,.625,2,4,.500,1,2,.500,0,4,4,3,1,0,0,4,13,11.7,+6
201711060ATL,ATL,True,W,32:27,7,13,.538,3,5,.600,4,4,1.000,0,8,8,1,1,2,0,1,21,19.8,+15
201711080BOS,LAL,False,W,9:21,1,2,.500,0,0,,3,3,1.000,0,1,1,1,1,1,1,1,5,5.3,-1
201711100BOS,CHO,False,W,30:44,6,12,.500,1,4,.250,3,4,.750,0,2,2,1,0,0,2,4,16,7.3,+5
201711120BOS,TOR,False,W,32:59,6,15,.400,1,4,.250,0,0,,1,6,7,0,0,0,2,3,13,4.2,+2
201711140BRK,BRK,True,W,30:17,6,9,.667,2,3,.667,5,6,.833,1,3,4,0,3,1,1,1,19,18.6,+5
201711160BOS,GSW,False,W,27:04,2,5,.400,0,0,,8,9,.889,1,3,4,0,1,0,1,3,12,9.3,-18
201711180ATL,ATL,True,W,28:47,5,11,.455,1,3,.333,3,3,1.000,0,7,7,0,4,2,1,3,14,13.6,-4
201711200DAL,DAL,True,W,37:49,6,11,.545,0,2,.000,3,4,.750,0,9,9,1,1,1,1,3,15,12.2,+15
201711220MIA,MIA,True,L,34:05,5,11,.455,3,4,.750,5,5,1.000,1,6,7,4,1,1,1,1,18,17.9,+4
201711240BOS,ORL,False,W,21:54,4,7,.571,3,4,.750,0,0,,1,1,2,0,1,2,0,1,11,10.7,+13
201711250IND,IND,True,W,37:38,4,10,.400,1,5,.200,2,3,.667,0,2,2,0,0,0,1,3,11,3.6,+12
201711270BOS,DET,False,L,34:44,3,7,.429,2,4,.500,2,2,1.000,1,2,3,4,0,1,1,5,10,8.1,-13
201711300BOS,PHI,False,W,27:52,6,11,.545,2,3,.667,1,3,.333,0,2,2,2,2,0,0,1,15,12.5,+7
201712020BOS,PHO,False,W,26:30,6,8,.750,1,1,1.000,2,2,1.000,1,5,6,2,2,2,1,2,15,17.0,+8
201712040BOS,MIL,False,W,32:35,5,6,.833,4,5,.800,3,4,.750,0,6,6,0,0,0,1,1,17,14.8,+8
201712060BOS,DAL,False,W,32:49,5,11,.455,2,3,.667,5,6,.833,1,9,10,0,1,0,0,2,17,14.5,+16
201712080SAS,SAS,True,L,35:54,6,11,.545,2,4,.500,6,6,1.000,0,8,8,0,2,0,0,0,20,19.1,-7
201712100DET,DET,True,W,29:49,4,7,.571,3,5,.600,0,0,,0,4,4,0,0,1,1,1,11,8.2,+12
201712110CHI,CHI,True,L,29:05,1,7,.143,0,4,.000,2,4,.500,1,9,10,1,1,1,0,3,4,3.3,-3
201712130BOS,DEN,False,W,27:55,6,9,.667,1,1,1.000,2,3,.667,0,4,4,2,0,1,1,1,15,12.6,+2
201712150BOS,UTA,False,L,26:00,1,6,.167,1,3,.333,4,4,1.000,0,4,4,2,0,0,1,4,7,3.2,-7
201712160MEM,MEM,True,W,34:00,7,13,.538,2,2,1.000,3,3,1.000,6,4,10,1,2,2,0,1,19,21.8,+21
201712180IND,IND,True,W,30:52,6,8,.750,1,1,1.000,3,3,1.000,0,5,5,4,1,1,2,3,16,15.6,+6
201712200BOS,MIA,False,L,28:06,4,9,.444,0,2,.000,3,4,.750,0,7,7,2,0,1,1,2,11,8.3,+3
201712210NYK,NYK,True,L,34:06,6,10,.600,2,6,.333,3,4,.750,1,2,3,0,2,0,3,1,17,11.9,-6
201712230BOS,CHI,False,W,32:45,6,13,.462,1,3,.333,0,0,,0,7,7,5,1,0,0,2,13,12.1,+23
201712250BOS,WAS,False,L,36:09,7,9,.778,2,2,1.000,4,6,.667,0,3,3,0,0,0,4,3,20,11.4,-8
201712270CHO,CHO,True,W,35:13,6,12,.500,0,3,.000,6,6,1.000,0,5,5,0,2,2,2,3,18,13.7,+10
201712280BOS,HOU,False,W,39:54,5,11,.455,0,3,.000,9,11,.818,0,5,5,1,2,1,0,0,19,17.4,+6
201712310BOS,BRK,False,W,32:43,2,7,.286,1,3,.333,4,6,.667,0,4,4,0,0,0,4,3,9,0.1,-3
201801030BOS,CLE,False,W,30:00,6,14,.429,1,3,.333,2,2,1.000,0,5,5,2,0,0,0,1,15,10.1,+21
201801050BOS,MIN,False,W,30:34,2,7,.286,0,4,.000,0,0,,1,2,3,1,1,0,0,1,4,2.5,-11
201801060BRK,BRK,True,W,32:20,6,15,.400,2,2,1.000,0,0,,2,4,6,0,3,6,1,2,14,13.9,+10
201801110PHI,PHI,True,W,24:22,7,13,.538,1,3,.333,1,2,.500,1,3,4,2,0,0,1,3,16,10.1,-8
201801160BOS,NOP,False,L,26:49,3,6,.500,2,4,.500,2,2,1.000,0,5,5,2,0,1,3,1,10,7.2,-2
201801180BOS,PHI,False,L,36:45,4,11,.364,1,3,.333,2,4,.500,0,4,4,0,2,2,2,3,11,5.5,-2
201801210BOS,ORL,False,L,30:45,4,11,.364,1,4,.250,0,0,,3,7,10,1,1,1,2,2,9,6.7,+3
201801230LAL,LAL,True,L,30:34,1,6,.167,1,3,.333,1,2,.500,0,5,5,0,0,0,3,4,4,-3.3,-4
201801240LAC,LAC,True,W,33:30,7,16,.438,2,4,.500,2,2,1.000,1,5,6,3,1,0,1,2,18,13.1,+6
201801270GSW,GSW,True,L,28:21,2,9,.222,0,3,.000,0,0,,0,5,5,0,1,0,1,1,4,-0.4,+7
201801290DEN,DEN,True,W,32:43,8,13,.615,2,4,.500,2,2,1.000,1,5,6,4,1,1,0,3,20,19.6,+10
201801310BOS,NYK,False,W,30:53,7,15,.467,1,4,.250,0,0,,0,3,3,1,0,0,0,0,15,8.9,+29
201802020BOS,ATL,False,W,31:34,11,19,.579,0,1,.000,5,5,1.000,0,4,4,3,4,0,0,4,27,23.8,+29
201802040BOS,POR,False,W,36:22,6,14,.429,3,5,.600,2,2,1.000,0,2,2,5,0,0,3,2,17,9.9,+2
201802060TOR,TOR,True,L,20:49,2,9,.222,0,1,.000,0,0,,0,1,1,0,0,0,1,0,4,-2.2,-16
201802080WAS,WAS,True,W,36:29,3,9,.333,0,3,.000,5,7,.714,0,2,2,1,2,0,3,2,11,4.6,+13
201802090BOS,IND,False,L,35:38,6,11,.545,0,0,,3,3,1.000,0,3,3,1,0,4,2,2,15,11.3,-6
201802110BOS,CLE,False,L,27:26,4,11,.364,1,2,.500,0,0,,1,1,2,1,1,0,2,3,9,2.4,-18
201802140BOS,LAC,False,L,31:33,4,13,.308,1,4,.250,1,1,1.000,0,4,4,2,0,0,0,2,10,4.3,-1
